Order_ID,Order_Date,Region,Category,Product_Name,Quantity,Unit_Price,Cost_Price,Sales,Profit
1001,2024-01-05,North,Electronics,Laptop,2,60000,50000,120000,20000
1002,2024-01-10,South,Furniture,Chair,5,2000,1200,10000,4000
1003,2024-01-15,East,Clothing,T-Shirt,10,500,300,5000,2000
1004,2024-02-01,West,Electronics,Mobile,3,20000,15000,60000,15000
1005,2024-02-10,North,Furniture,Table,2,8000,6000,16000,4000
1006,2024-02-15,South,Clothing,Jeans,4,1500,1000,6000,2000
1007,2024-03-01,East,Electronics,Tablet,3,15000,12000,45000,9000
1008,2024-03-05,West,Furniture,Sofa,1,30000,25000,30000,5000
1009,2024-03-10,North,Clothing,Jacket,2,3000,2000,6000,2000
1010,2024-03-15,South,Electronics,Headphones,6,2000,1200,12000,4800
1011,2024-04-01,East,Furniture,Desk,2,10000,7000,20000,6000
1012,2024-04-05,West,Clothing,Shirt,8,800,500,6400,2400
1013,2024-04-10,North,Electronics,Smartwatch,4,5000,3500,20000,6000
1014,2024-04-15,South,Furniture,Bed,1,25000,20000,25000,5000
1015,2024-05-01,East,Clothing,Shoes,5,2000,1500,10000,2500
1016,2024-05-05,West,Electronics,Camera,2,30000,25000,60000,10000
1017,2024-05-10,North,Furniture,Cupboard,1,20000,15000,20000,5000
1018,2024-05-15,South,Clothing,Cap,10,300,200,3000,1000
1019,2024-06-01,East,Electronics,Speaker,4,4000,3000,16000,4000
1020,2024-06-05,West,Furniture,TV Stand,2,7000,5000,14000,4000
